"cardmarketId","name","collectorNumber","rarity","expansion","expansionCode","scryfallId","tcgplayerId"
751360,"Agile Engagement (Blue) (Rainbow Foil)","117","Common","Heavy Hitters","HVY",,
751359,"Agile Engagement (Blue) (Regular)","117","Common","Heavy Hitters","HVY",,
760398,"Agile Engagement (Blue) (Regular)","023","Common","Heavy Hitters - Kassai Blitz Deck","KSI",,
760452,"Agile Engagement (Blue) (Regular)","023","Common","Heavy Hitters - Olympia Blitz Deck","OLA",,
751356,"Agile Engagement (Red) (Rainbow Foil)","115","Common","Heavy Hitters","HVY",,
751355,"Agile Engagement (Red) (Regular)","115","Common","Heavy Hitters","HVY",,
760386,"Agile Engagement (Red) (Regular)","012","Common","Heavy Hitters - Kassai Blitz Deck","KSI",,
760441,"Agile Engagement (Red) (Regular)","012","Common","Heavy Hitters - Olympia Blitz Deck","OLA",,
751358,"Agile Engagement (Yellow) (Rainbow Foil)","116","Common","Heavy Hitters","HVY",,
751357,"Agile Engagement (Yellow) (Regular)","116","Common","Heavy Hitters","HVY",,
760425,"Agile Windup (Blue) (Extended Art Regular)","022","Common","Heavy Hitters - Kayo Blitz Deck","KYO",,
750816,"Agile Windup (Blue) (Rainbow Foil)","165","Common","Heavy Hitters","HVY",,
750815,"Agile Windup (Blue) (Regular)","165","Common","Heavy Hitters","HVY",,
767876,"Agile Windup (Blue) (Regular)","017","Common","Armory Deck: Kayo","AKO",,
760410,"Agile Windup (Red) (Extended Art Regular)","007","Common","Heavy Hitters - Kayo Blitz Deck","KYO",,
750812,"Agile Windup (Red) (Rainbow Foil)","163","Common","Heavy Hitters","HVY",,
750811,"Agile Windup (Red) (Regular)","163","Common","Heavy Hitters","HVY",,
760464,"Agile Windup (Red) (Regular)","008","Common","Heavy Hitters - Rhinar Blitz Deck","RNR2",,
760419,"Agile Windup (Yellow) (Extended Art Regular)","016","Common","Heavy Hitters - Kayo Blitz Deck","KYO",,
750814,"Agile Windup (Yellow) (Rainbow Foil)","164","Common","Heavy Hitters","HVY",,
750813,"Agile Windup (Yellow) (Regular)","164","Common","Heavy Hitters","HVY",,
760473,"Agile Windup (Yellow) (Regular)","017","Common","Heavy Hitters - Rhinar Blitz Deck","RNR2",,
756221,"Agility (Cold Foil)","204","Promo","FAB Promos","FAB",,
750859,"Agility (Regular)","240","Token","Heavy Hitters","HVY",,
767898,"Agility (Regular)","027","Token","Armory Deck: Kayo","AKO",,
858816,"Agility (Regular)","029","Token","Armory Deck: Rhinar","ARR",,
754963,"Agility // Gold (Rainbow Foil)","229","Promo","LGS Promos","LGS",,
807477,"Agility Stance (Extended Art Rainbow Foil)","313","Promo","FAB Promos","FAB",,
806882,"Agility Stance (Rainbow Foil)","125","Rare","The Hunted","HNT",,
806881,"Agility Stance (Regular)","125","Rare","The Hunted","HNT",,
841175,"Air of a Comeback (Regular)","007","Majestic","Smash Palace","SMP",,
721511,"Alluring Inducement (Rainbow Foil)","215","Majestic","Dusk till Dawn","DTD",,
719672,"Alluring Inducement (Regular)","215","Majestic","Dusk till Dawn","DTD",,
676542,"Alluvion Constellas (Cold Foil Golden)","084","Promo","FAB Promos","FAB",,
663640,"Alluvion Constellas (Cold Foil)","166","Legendary","Uprising","UPR",,
663641,"Alluvion Constellas (Rainbow Foil)","166","Legendary","Uprising","UPR",,
800001,"Alluvion Constellas (Regular)","054","Legendary","Archive Pack - Rosetta","RAP",,
858809,"Alpha Instinct (Regular)","022","Majestic","Armory Deck: Rhinar","ARR",,
600021,"Alpha Rampage (Normal)","WTR006-M","Majestic","Welcome to Rathe - Alpha","WTR-A",,
600572,"Alpha Rampage (Normal)","WTR006","Majestic","Welcome to Rathe - Unlimited","WTR-U",,
600020,"Alpha Rampage (Rainbow Foil)","WTR006-M","Majestic","Welcome to Rathe - Alpha","WTR-A",,
600571,"Alpha Rampage (Rainbow Foil)","WTR006","Majestic","Welcome to Rathe - Unlimited","WTR-U",,
654868,"Alpha Rampage (Regular)","010","Majestic","History Pack 1","1HP",,
660546,"Alpha Rampage (Regular)","RVD008","Majestic","Classic Battles: Rhinar vs Dorinthea","DVR",,
666842,"Alpha Rampage (Regular)","010","Majestic","History Pack 1 - Black Label","1HP-BL",,
734144,"Already Dead (Rainbow Foil)","236","Majestic","Bright Lights","EVO",,
734143,"Already Dead (Regular)","236","Majestic","Bright Lights","EVO",,
800183,"Already Dead (Regular)","009","Majestic","Archive Pack - Part the Mistveil","MAP",,
828076,"Amethyst Amulet (Marvel)","189","Marvel","High Seas","SEA",,
827593,"Amethyst Amulet (Regular)","189","Majestic","High Seas","SEA",,
680650,"Amethyst Tiara (Marvel)","171","Marvel","Dynasty","DYN",,
684842,"Amethyst Tiara (Rainbow Foil)","171","Majestic","Dynasty","DYN",,
684843,"Amethyst Tiara (Regular)","171","Majestic","Dynasty","DYN",,
703002,"Amnesia (Rainbow Foil)","183","Majestic","Outsiders","OUT",,
701339,"Amnesia (Regular)","183","Majestic","Outsiders","OUT",,
804506,"Amnesia (Regular)","115","Majestic","Archive Mastery Pack - Guardian","GAP",,
601175,"Amplify the Arknight (Blue) (Normal)","ARC096-C","Common","Arcane Rising - First","ARC-F",,
601593,"Amplify the Arknight (Blue) (Normal)","ARC096","Common","Arcane Rising - Unlimited","ARC-U",,
601174,"Amplify the Arknight (Blue) (Rainbow Foil)","ARC096-C","Common","Arcane Rising - First","ARC-F",,
601592,"Amplify the Arknight (Blue) (Rainbow Foil)","ARC096","Common","Arcane Rising - Unlimited","ARC-U",,
655552,"Amplify the Arknight (Blue) (Regular)","284","Common","History Pack 1","1HP",,
667184,"Amplify the Arknight (Blue) (Regular)","284","Common","History Pack 1 - Black Label","1HP-BL",,
799985,"Amplify the Arknight (Blue) (Regular)","038","Common","Archive Pack - Rosetta","RAP",,
841855,"Amplify the Arknight (Blue) (Regular)","023","Common","Armory Deck Legends: Viserai, Rune Blood","AVS",,
601171,"Amplify the Arknight (Red) (Normal)","ARC094-C","Common","Arcane Rising - First","ARC-F",,
601589,"Amplify the Arknight (Red) (Normal)","ARC094","Common","Arcane Rising - Unlimited","ARC-U",,
601170,"Amplify the Arknight (Red) (Rainbow Foil)","ARC094-C","Common","Arcane Rising - First","ARC-F",,
601588,"Amplify the Arknight (Red) (Rainbow Foil)","ARC094","Common","Arcane Rising - Unlimited","ARC-U",,
655548,"Amplify the Arknight (Red) (Regular)","282","Common","History Pack 1","1HP",,
667182,"Amplify the Arknight (Red) (Regular)","282","Common","History Pack 1 - Black Label","1HP-BL",,
707933,"Amplify the Arknight (Red) (Regular)","007","Common","History Pack 1 - Viserai Blitz Deck","1HV",,
799984,"Amplify the Arknight (Red) (Regular)","037","Common","Archive Pack - Rosetta","RAP",,
841839,"Amplify the Arknight (Red) (Regular)","007","Common","Armory Deck Legends: Viserai, Rune Blood","AVS",,
601173,"Amplify the Arknight (Yellow) (Normal)","ARC095-C","Common","Arcane Rising - First","ARC-F",,
601591,"Amplify the Arknight (Yellow) (Normal)","ARC095","Common","Arcane Rising - Unlimited","ARC-U",,
601172,"Amplify the Arknight (Yellow) (Rainbow Foil)","ARC095-C","Common","Arcane Rising - First","ARC-F",,
601590,"Amplify the Arknight (Yellow) (Rainbow Foil)","ARC095","Common","Arcane Rising - Unlimited","ARC-U",,
655551,"Amplify the Arknight (Yellow) (Regular)","283","Common","History Pack 1","1HP",,
667183,"Amplify the Arknight (Yellow) (Regular)","283","Common","History Pack 1 - Black Label","1HP-BL",,
702286,"Amplifying Arrow (Rainbow Foil)","100","Majestic","Outsiders","OUT",,
701290,"Amplifying Arrow (Regular)","100","Majestic","Outsiders","OUT",,
608068,"Amulet of Assertiveness (Cold Foil)","176","Rare","Everfest - First","EVR-F",,
608067,"Amulet of Assertiveness (Regular)","176","Rare","Everfest - First","EVR-F",,
700706,"Amulet of Assertiveness (Regular)","497","Rare","History Pack 2 - Black Label","2HP-BL",,
604950,"Amulet of Earth (Cold Foil)","063","Promo","LGS Promos","LGS",,
604152,"Amulet of Earth (Normal)","ELE143","Common","Tales of Aria - First","ELE-F",,
604608,"Amulet of Earth (Normal)","ELE143","Common","Tales of Aria - Unlimited","ELE-U",,
604153,"Amulet of Earth (Rainbow Foil)","ELE143","Common","Tales of Aria - First","ELE-F",,
604609,"Amulet of Earth (Rainbow Foil)","ELE143","Common","Tales of Aria - Unlimited","ELE-U",,
605232,"Amulet of Earth (Regular)","026","Common","Tales of Aria - Briar Blitz Deck","BRI",,
700130,"Amulet of Earth (Regular)","101","Common","History Pack 2 - Black Label","2HP-BL",,
804420,"Amulet of Earth (Regular)","029","Common","Archive Mastery Pack - Guardian","GAP",,
608070,"Amulet of Echoes (Cold Foil)","177","Rare","Everfest - First","EVR-F",,
608069,"Amulet of Echoes (Regular)","177","Rare","Everfest - First","EVR-F",,
700707,"Amulet of Echoes (Regular)","498","Rare","History Pack 2 - Black Label","2HP-BL",,
800294,"Amulet of Echoes (Regular)","120","Rare","Archive Pack - Part the Mistveil","MAP",,
608072,"Amulet of Havencall (Cold Foil)","178","Rare","Everfest - First","EVR-F",,
608071,"Amulet of Havencall (Regular)","178","Rare","Everfest - First","EVR-F",,
700708,"Amulet of Havencall (Regular)","499","Rare","History Pack 2 - Black Label","2HP-BL",,
